name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
/datum/action/item_action/toggle/motion_detector/update_button_icon,code/datums/action.dm,308,343383.0,0.000564,63,5316,3617,10540,1886.510240
/datum/action/item_action/toggle/rail_flashlight/New,code/datums/action.dm,447,606151.0,0.001021,11,55104,44814,92463,12943.248646
/datum/action/item_action/toggle/rail_flashlight/update_button_icon,code/datums/action.dm,455,116639.0,0.000196,22,5301,3296,10329,2195.870941
/datum/action/item_action/toggle/scope/New,code/datums/action.dm,264,1681603.0,0.003099,32,57527,44523,101761,11512.626408
/datum/action/item_action/toggle/scope/update_button_icon,code/datums/action.dm,272,386307.0,0.000650,64,6036,3737,12524,2061.339983
/datum/action/item_action/toggle/stock/New,code/datums/action.dm,250,8880677.0,0.015952,192,49348,38733,147025,11778.576223
/datum/action/item_action/toggle/stock/update_button_icon,code/datums/action.dm,254,2019459.0,0.003730,393,5636,3467,107621,5714.751941
/datum/action/item_action/toggle/ubs/New,code/datums/action.dm,491,310228.0,0.000475,5,56389,52839,60343,3116.404218
/datum/action/item_action/toggle/ubs/update_button_icon,code/datums/action.dm,495,71172.0,0.000109,10,6449,4048,9818,2222.496069
/datum/action/item_action/toggle/ugl/New,code/datums/action.dm,553,8013816.0,0.013558,165,48804,40425,134150,10326.755986
/datum/action/item_action/toggle/ugl/update_button_icon,code/datums/action.dm,558,1766010.0,0.002914,330,5244,3516,26289,1964.680877
/datum/action/item_action/toggle/use/New,code/datums/action.dm,239,3813835.0,0.006528,74,52396,39985,93134,9553.498792
/datum/action/item_action/toggle/use/whistle/New,code/datums/action.dm,244,512789.0,0.000863,8,64098,53420,77224,7047.890576
/datum/action/item_action/toggle/vulture_scope/New,code/datums/action.dm,292,185477.0,0.000396,4,58742,44895,95719,24720.374876
/datum/action/item_action/toggle/vulture_scope/update_button_icon,code/datums/action.dm,282,40935.0,0.000071,8,5246,3877,7595,1448.864827
/datum/action/item_action/toggle_firing_level/New,code/modules/projectiles/guns/specialist/launcher/grenade_launcher.dm,232,262811.0,0.000445,4,66078,53039,83697,13447.698527
/datum/action/item_action/toggle_firing_level/proc/update_icon,code/modules/projectiles/guns/specialist/launcher/grenade_launcher.dm,248,28123.0,0.000050,4,7381,5851,9027,1412.528820
/datum/action/item_action/toggle_helmet_light/New,code/modules/clothing/head/WY/pmc.dm,87,159056.0,0.000268,3,53018,50795,54882,2067.189638
/datum/action/item_action/toggle_helmet_light/update_button_icon,code/modules/clothing/head/WY/pmc.dm,93,34635.0,0.000058,6,5772,3707,7814,2200.887866
/datum/action/item_action/toggle_zoom_level/New,code/modules/projectiles/gun_attachables.dm,1318,332503.0,0.000560,9,36944,33653,41187,2397.823049
/datum/action/item_action/toggle_zoom_level/update_button_icon,code/modules/projectiles/gun_attachables.dm,1331,60724.0,0.000117,9,7741,6031,10109,1307.767324
/datum/action/item_action/update_button_icon,code/datums/action.dm,221,34566639.0,0.058198,2921,11833,7764,41869,2574.624748
/datum/action/item_action/view_publications/New,code/modules/clothing/glasses/hud.dm,31,231851.0,0.000378,7,32068,29906,34805,1687.141024
/datum/action/item_action/view_publications/update_button_icon,code/modules/clothing/glasses/hud.dm,39,2315.0,0.000004,7,315,240,381,48.733972
